"BIRTH_DATE","CowId","herd","ENTER_HERD_DATE","LEFT_HERD_DATE","LEFT_HERD_CODE"
20AUG2014,430,3,20AUG2014,,.
22AUG2014,431,3,22AUG2014,28APR2017,14
22AUG2014,432,3,22AUG2014,,.
09AUG2014,433,2,09AUG2014,,.
13AUG2014,434,2,13AUG2014,,.
15AUG2014,435,2,15AUG2014,,.
15AUG2014,436,2,15AUG2014,28JUN2017,26
18AUG2014,437,1,18AUG2014,31AUG2017,12
24SEP2014,438,2,24SEP2014,,.
26SEP2014,439,2,26SEP2014,,.
12SEP2014,440,3,12SEP2014,06JUN2017,08
14SEP2014,441,3,14SEP2014,,.
19SEP2014,442,3,19SEP2014,,.
20SEP2014,443,3,20SEP2014,28SEP2017,10
01NOV2014,444,2,01NOV2014,,.
13SEP2014,445,2,13SEP2014,01MAY2017,14
02NOV2014,446,2,02NOV2014,,.
07NOV2014,447,2,07NOV2014,,.
25OCT2014,448,3,25OCT2014,,.
27OCT2014,449,3,27OCT2014,,.
31OCT2014,450,3,31OCT2014,,.
05NOV2014,451,3,05NOV2014,,.
10NOV2014,452,3,10NOV2014,,.
24NOV2014,453,2,24NOV2014,,.
19NOV2014,454,2,19NOV2014,,.
12NOV2014,455,3,12NOV2014,,.
13NOV2014,456,3,13NOV2014,,.
20NOV2014,457,3,20NOV2014,,.
29DEC2014,458,3,20DEC2016,,.
31DEC2014,459,3,31DEC2014,,.
03JAN2015,460,3,03JAN2015,,.
06OCT2014,461,3,06OCT2014,,.
03NOV2014,462,3,03NOV2014,01SEP2017,21
18DEC2014,463,3,18DEC2014,,.
20DEC2014,464,3,20DEC2014,,.
18DEC2014,465,3,18DEC2014,,.
16DEC2014,466,3,16DEC2014,,.
05JAN2015,467,3,05JAN2015,,.
13JAN2015,468,3,13JAN2015,,.
18DEC2014,469,2,18DEC2014,01MAY2017,14
30DEC2014,470,2,30DEC2014,,.
01JAN2015,471,2,01JAN2015,,.
25DEC2014,472,3,16FEB2017,,.
15JAN2015,473,3,15JAN2015,21JAN2017,12
20DEC2014,474,2,20DEC2014,,.
10FEB2015,475,2,10FEB2015,,.
19FEB2015,476,3,19FEB2015,,.
21FEB2015,477,3,21FEB2015,,.
03MAR2015,478,3,03MAR2015,,.
05MAR2015,479,3,05MAR2015,,.
18FEB2015,480,2,18FEB2015,,.
03MAR2015,481,2,03MAR2015,,.
03MAR2015,482,2,03MAR2015,,.
05MAR2015,483,2,05MAR2015,,.
07MAR2015,484,2,07MAR2015,,.
13MAR2015,485,2,13MAR2015,,.
16MAR2015,486,2,16MAR2015,,.
12MAR2015,487,3,12MAR2015,13DEC2017,26
18MAR2015,488,3,18MAR2015,,.
22MAR2015,489,3,22MAR2015,,.
12APR2015,490,3,12APR2015,,.
24APR2015,491,3,24APR2015,,.
11MAY2015,492,3,11MAY2015,,.
15APR2015,493,2,15APR2015,,.
19APR2015,494,2,19APR2015,10MAR2018,11
19APR2015,495,2,19APR2015,,.
20APR2015,496,2,20APR2015,,.
27APR2015,497,2,27APR2015,,.
28APR2015,498,2,28APR2015,,.
15MAY2015,499,3,15MAY2015,,.
16MAY2015,500,3,16MAY2015,,.
25MAY2015,501,3,25MAY2015,,.
10JUN2015,502,3,10JUN2015,31JAN2018,24
13JUN2015,503,3,13JUN2015,,.
24JUN2015,504,2,24JUN2015,,.
28JUN2015,505,2,28JUN2015,,.
25JUN2015,506,3,25JUN2015,,.
25JUN2015,507,3,25JUN2015,,.
02JUL2015,508,3,02JUL2015,,.
06JUL2015,509,3,06JUL2015,,.
07JUL2015,510,3,07JUL2015,,.
08JUL2015,511,3,08JUL2015,,.
18JUL2015,512,3,18JUL2015,10SEP2015,21
21JUL2015,513,3,21JUL2015,10OCT2015,21
12JUL2015,514,2,12JUL2015,,.
26JUL2015,515,2,26JUL2015,,.
22AUG2015,516,3,22AUG2015,,.
22AUG2015,517,3,22AUG2015,,.
22AUG2015,518,3,22AUG2015,,.
24AUG2015,519,3,24AUG2015,,.
28AUG2015,520,3,28AUG2015,,.
06SEP2015,521,3,06SEP2015,28FEB2018,30
07SEP2015,522,3,07SEP2015,,.
21MAR2011,523,3,14OCT2016,,.
18SEP2015,524,3,18SEP2015,,.
14SEP2015,525,3,14SEP2015,,.
21SEP2015,526,3,21SEP2015,,.
24SEP2015,527,3,24SEP2015,,.
11OCT2015,528,1,11OCT2015,,.
31OCT2015,529,3,31OCT2015,,.
04NOV2015,530,3,04NOV2015,,.
24OCT2015,531,3,24OCT2015,05MAY2016,21
30OCT2015,532,3,30OCT2015,,.
31OCT2015,533,3,31OCT2015,,.
29OCT2015,534,3,29OCT2015,,.
14OCT2015,535,3,14OCT2015,,.
09NOV2015,536,3,09NOV2015,,.
09NOV2015,537,3,09NOV2015,,.
10NOV2015,538,3,10NOV2015,05MAY2016,21
23OCT2015,539,2,23OCT2015,,.
